c0,c1,c2,level,bpp,mse
88, 128, 64, 3, 0.5898, 39.1017, kodak/kodim06.png
88, 128, 64, 3, 0.3743, 28.0284, kodak/kodim16.png
88, 128, 64, 3, 0.3714, 21.4435, kodak/kodim07.png
88, 128, 64, 4, 0.3716, 11.3987, kodak/kodim03.png
88, 128, 64, 4, 1.1788, 34.2893, kodak/kodim08.png
88, 128, 64, 4, 0.7411, 21.8373, kodak/kodim21.png
88, 128, 64, 4, 0.9495, 30.6724, kodak/kodim18.png
88, 128, 64, 4, 0.4941, 17.7706, kodak/kodim15.png
88, 128, 64, 4, 0.3894, 13.3480, kodak/kodim09.png
88, 128, 64, 4, 0.4964, 16.1081, kodak/kodim17.png
88, 128, 64, 4, 0.4716, 15.1629, kodak/kodim20.png
88, 128, 64, 4, 0.4166, 14.6546, kodak/kodim12.png
88, 128, 64, 4, 0.7270, 25.3403, kodak/kodim22.png
88, 128, 64, 4, 0.6381, 21.0253, kodak/kodim19.png
88, 128, 64, 4, 0.5199, 20.0914, kodak/kodim02.png
88, 128, 64, 4, 0.4277, 14.5777, kodak/kodim10.png
88, 128, 64, 4, 1.1160, 29.2157, kodak/kodim05.png
88, 128, 64, 4, 0.3187, 12.2033, kodak/kodim23.png
88, 128, 64, 4, 0.7302, 22.8299, kodak/kodim11.png
88, 128, 64, 4, 0.9310, 29.1643, kodak/kodim24.png
88, 128, 64, 4, 1.1470, 30.1239, kodak/kodim01.png
88, 128, 64, 4, 0.5191, 18.7357, kodak/kodim04.png
88, 128, 64, 4, 0.9376, 29.4494, kodak/kodim14.png
88, 128, 64, 4, 1.5515, 43.6461, kodak/kodim13.png
88, 128, 64, 4, 0.8305, 23.3385, kodak/kodim06.png
88, 128, 64, 4, 0.5508, 17.2833, kodak/kodim16.png
88, 128, 64, 4, 0.4994, 13.3963, kodak/kodim07.png
88, 128, 64, 5, 0.5098, 7.7751, kodak/kodim03.png
88, 128, 64, 5, 1.5752, 21.9028, kodak/kodim08.png
88, 128, 64, 5, 0.9890, 14.0491, kodak/kodim21.png
88, 128, 64, 5, 1.2765, 20.2271, kodak/kodim18.png
88, 128, 64, 5, 0.6970, 12.0967, kodak/kodim15.png
88, 128, 64, 5, 0.5249, 9.5285, kodak/kodim09.png
88, 128, 64, 5, 0.6918, 10.7434, kodak/kodim17.png
88, 128, 64, 5, 0.6441, 10.4162, kodak/kodim20.png
88, 128, 64, 5, 0.5978, 10.0628, kodak/kodim12.png
88, 128, 64, 5, 1.0213, 16.7229, kodak/kodim22.png
88, 128, 64, 5, 0.8950, 13.4938, kodak/kodim19.png
88, 128, 64, 5, 0.7676, 13.3342, kodak/kodim02.png
88, 128, 64, 5, 0.5867, 10.2677, kodak/kodim10.png
88, 128, 64, 5, 1.4661, 18.6334, kodak/kodim05.png
88, 128, 64, 5, 0.4287, 9.2262, kodak/kodim23.png
88, 128, 64, 5, 1.0226, 14.3429, kodak/kodim11.png
88, 128, 64, 5, 1.2418, 19.2197, kodak/kodim24.png
88, 128, 64, 5, 1.5386, 17.8387, kodak/kodim01.png
88, 128, 64, 5, 0.7388, 12.4957, kodak/kodim04.png
88, 128, 64, 5, 1.2960, 18.6404, kodak/kodim14.png
88, 128, 64, 5, 2.0206, 26.6616, kodak/kodim13.png
88, 128, 64, 5, 1.1310, 14.2804, kodak/kodim06.png
88, 128, 64, 5, 0.7795, 10.7591, kodak/kodim16.png
88, 128, 64, 5, 0.6623, 9.0501, kodak/kodim07.png
88, 128, 64, 6, 0.6903, 5.4501, kodak/kodim03.png
88, 128, 64, 6, 2.0307, 14.3537, kodak/kodim08.png
88, 128, 64, 6, 1.2751, 9.5380, kodak/kodim21.png
88, 128, 64, 6, 1.6744, 14.3518, kodak/kodim18.png
88, 128, 64, 6, 0.9622, 8.4039, kodak/kodim15.png
88, 128, 64, 6, 0.7057, 7.0594, kodak/kodim09.png
88, 128, 64, 6, 0.9472, 7.5173, kodak/kodim17.png
88, 128, 64, 6, 0.8573, 7.3786, kodak/kodim20.png
88, 128, 64, 6, 0.8436, 6.7275, kodak/kodim12.png
88, 128, 64, 6, 1.3775, 11.5236, kodak/kodim22.png
88, 128, 64, 6, 1.2084, 9.0180, kodak/kodim19.png
88, 128, 64, 6, 1.1087, 8.8957, kodak/kodim02.png
88, 128, 64, 6, 0.8064, 7.3773, kodak/kodim10.png
88, 128, 64, 6, 1.8781, 12.3560, kodak/kodim05.png
88, 128, 64, 6, 0.5833, 7.1598, kodak/kodim23.png
88, 128, 64, 6, 1.3828, 9.1574, kodak/kodim11.png
88, 128, 64, 6, 1.6042, 13.5006, kodak/kodim24.png
88, 128, 64, 6, 1.9827, 10.8234, kodak/kodim01.png
88, 128, 64, 6, 1.0369, 8.4287, kodak/kodim04.png
88, 128, 64, 6, 1.7203, 12.4004, kodak/kodim14.png
88, 128, 64, 6, 2.4993, 17.7714, kodak/kodim13.png
88, 128, 64, 6, 1.4851, 9.0264, kodak/kodim06.png
88, 128, 64, 6, 1.0709, 6.7922, kodak/kodim16.png
88, 128, 64, 6, 0.8660, 6.3306, kodak/kodim07.png
88, 128, 64, 7, 0.9072, 4.1399, kodak/kodim03.png
88, 128, 64, 7, 2.4971, 10.6260, kodak/kodim08.png
88, 128, 64, 7, 1.6035, 7.1239, kodak/kodim21.png
88, 128, 64, 7, 2.1326, 10.9242, kodak/kodim18.png
88, 128, 64, 7, 1.2712, 6.4119, kodak/kodim15.png
88, 128, 64, 7, 0.9787, 5.5110, kodak/kodim09.png
88, 128, 64, 7, 1.2701, 5.4461, kodak/kodim17.png
88, 128, 64, 7, 1.1056, 5.8315, kodak/kodim20.png
88, 128, 64, 7, 1.1576, 4.8941, kodak/kodim12.png
88, 128, 64, 7, 1.7724, 8.7059, kodak/kodim22.png
88, 128, 64, 7, 1.5580, 6.5913, kodak/kodim19.png
88, 128, 64, 7, 1.5189, 6.2419, kodak/kodim02.png
88, 128, 64, 7, 1.1138, 5.5422, kodak/kodim10.png
88, 128, 64, 7, 2.3066, 9.1142, kodak/kodim05.png
88, 128, 64, 7, 0.7949, 5.9066, kodak/kodim23.png
88, 128, 64, 7, 1.7752, 6.3124, kodak/kodim11.png
88, 128, 64, 7, 1.9966, 10.4087, kodak/kodim24.png
88, 128, 64, 7, 2.4284, 7.3392, kodak/kodim01.png
88, 128, 64, 7, 1.3942, 5.9873, kodak/kodim04.png
88, 128, 64, 7, 2.1668, 9.1038, kodak/kodim14.png
88, 128, 64, 7, 2.9529, 13.5032, kodak/kodim13.png
