active, fn, bpp, mse, np
208.00, kodak/kodim01.png, 1.5866, 18.8670, 393216
208.00, kodak/kodim04.png, 0.8855, 11.3854, 393216
208.00, kodak/kodim14.png, 1.3757, 17.0073, 393216
208.00, kodak/kodim13.png, 1.9163, 35.2938, 393216
208.00, kodak/kodim06.png, 1.2629, 13.9860, 393216
208.00, kodak/kodim16.png, 0.9526, 9.0180, 393216
208.00, kodak/kodim07.png, 0.7718, 8.4768, 393216
192.00, kodak/kodim03.png, 0.6615, 6.4380, 393216
192.00, kodak/kodim08.png, 1.6166, 24.9752, 393216
192.00, kodak/kodim21.png, 1.0268, 14.5075, 393216
192.00, kodak/kodim18.png, 1.3306, 22.6604, 393216
192.00, kodak/kodim15.png, 0.8182, 11.4407, 393216
192.00, kodak/kodim09.png, 0.6556, 8.5081, 393216
192.00, kodak/kodim17.png, 0.8307, 9.8111, 393216
192.00, kodak/kodim20.png, 0.7257, 9.8254, 393216
192.00, kodak/kodim12.png, 0.7893, 7.8394, 393216
192.00, kodak/kodim22.png, 1.1240, 15.9668, 393216
192.00, kodak/kodim19.png, 1.0030, 12.4380, 393216
192.00, kodak/kodim02.png, 0.9337, 11.2554, 393216
192.00, kodak/kodim10.png, 0.7659, 8.9470, 393216
192.00, kodak/kodim05.png, 1.5406, 18.6243, 393216
192.00, kodak/kodim23.png, 0.5594, 8.0864, 393216
192.00, kodak/kodim11.png, 1.1415, 13.5491, 393216
192.00, kodak/kodim24.png, 1.3184, 21.2012, 393216
192.00, kodak/kodim01.png, 1.5769, 18.3729, 393216
192.00, kodak/kodim04.png, 0.8847, 10.6421, 393216
192.00, kodak/kodim14.png, 1.3720, 16.1433, 393216
192.00, kodak/kodim13.png, 1.8875, 37.4452, 393216
192.00, kodak/kodim06.png, 1.2565, 13.4313, 393216
192.00, kodak/kodim16.png, 0.9513, 8.4597, 393216
192.00, kodak/kodim07.png, 0.7708, 7.7844, 393216
176.00, kodak/kodim03.png, 0.6591, 6.1876, 393216
176.00, kodak/kodim08.png, 1.5888, 25.9455, 393216
176.00, kodak/kodim21.png, 1.0100, 15.2330, 393216
176.00, kodak/kodim18.png, 1.3126, 23.7514, 393216
176.00, kodak/kodim15.png, 0.8129, 11.4151, 393216
176.00, kodak/kodim09.png, 0.6532, 8.1583, 393216
176.00, kodak/kodim17.png, 0.8263, 9.7684, 393216
176.00, kodak/kodim20.png, 0.7205, 9.6062, 393216
176.00, kodak/kodim12.png, 0.7882, 7.4838, 393216
176.00, kodak/kodim22.png, 1.1129, 16.0860, 393216
176.00, kodak/kodim19.png, 0.9945, 12.3867, 393216
176.00, kodak/kodim02.png, 0.9322, 10.7184, 393216
176.00, kodak/kodim10.png, 0.7642, 8.5306, 393216
176.00, kodak/kodim05.png, 1.5263, 18.6189, 393216
176.00, kodak/kodim23.png, 0.5586, 7.7690, 393216
176.00, kodak/kodim11.png, 1.1314, 13.7918, 393216
176.00, kodak/kodim24.png, 1.2988, 22.4469, 393216
176.00, kodak/kodim01.png, 1.5494, 19.4517, 393216
176.00, kodak/kodim04.png, 0.8827, 10.1883, 393216
176.00, kodak/kodim14.png, 1.3618, 16.0590, 393216
