level,fn,bpp,mse,np
0.00, kodim03, 0.0828, 197.0779, 393216
0.00, kodim08, 0.2749, 239.0883, 393216
0.00, kodim21, 0.1493, 213.8936, 393216
0.00, kodim18, 0.1764, 302.2765, 393216
0.00, kodim15, 0.0999, 179.0379, 393216
0.00, kodim09, 0.0959, 165.2789, 393216
0.00, kodim17, 0.1082, 225.5358, 393216
0.00, kodim20, 0.1003, 140.4203, 393216
0.00, kodim12, 0.0853, 155.8250, 393216
0.00, kodim22, 0.1161, 246.3669, 393216
0.00, kodim19, 0.1117, 222.0014, 393216
0.00, kodim02, 0.0877, 200.3230, 393216
0.00, kodim10, 0.0983, 203.5635, 393216
0.00, kodim05, 0.2529, 252.6633, 393216
0.00, kodim23, 0.0869, 178.8371, 393216
0.00, kodim11, 0.1326, 240.8199, 393216
0.00, kodim24, 0.1875, 274.1103, 393216
0.00, kodim01, 0.1905, 267.6696, 393216
0.00, kodim04, 0.0968, 198.6900, 393216
0.00, kodim14, 0.1675, 298.1253, 393216
0.00, kodim13, 0.2892, 373.6812, 393216
0.00, kodim06, 0.1540, 243.9872, 393216
0.00, kodim16, 0.0887, 248.7028, 393216
0.00, kodim07, 0.1223, 176.7351, 393216
1.00, kodim03, 0.1159, 86.4079, 393216
1.00, kodim08, 0.3945, 139.4160, 393216
1.00, kodim21, 0.2294, 111.5052, 393216
1.00, kodim18, 0.2779, 154.1039, 393216
1.00, kodim15, 0.1400, 90.0172, 393216
1.00, kodim09, 0.1335, 71.3515, 393216
1.00, kodim17, 0.1544, 110.5359, 393216
1.00, kodim20, 0.1397, 73.6615, 393216
1.00, kodim12, 0.1209, 75.7200, 393216
1.00, kodim22, 0.1817, 130.5887, 393216
1.00, kodim19, 0.1647, 118.0918, 393216
1.00, kodim02, 0.1257, 101.1118, 393216
1.00, kodim10, 0.1397, 91.5396, 393216
1.00, kodim05, 0.3748, 137.1666, 393216
1.00, kodim23, 0.1151, 76.6326, 393216
1.00, kodim11, 0.2008, 130.8205, 393216
1.00, kodim24, 0.2877, 144.6988, 393216
1.00, kodim01, 0.3136, 149.9883, 393216
1.00, kodim04, 0.1419, 100.3717, 393216
1.00, kodim14, 0.2551, 155.1620, 393216
1.00, kodim13, 0.4675, 213.5761, 393216
1.00, kodim06, 0.2388, 128.2232, 393216
1.00, kodim16, 0.1404, 114.5063, 393216
1.00, kodim07, 0.1710, 80.8368, 393216
2.00, kodim03, 0.1663, 39.3262, 393216
2.00, kodim08, 0.5636, 83.0748, 393216
2.00, kodim21, 0.3475, 61.9774, 393216
2.00, kodim18, 0.4256, 83.3027, 393216
2.00, kodim15, 0.2063, 49.0331, 393216
2.00, kodim09, 0.1853, 35.6002, 393216
2.00, kodim17, 0.2228, 54.0926, 393216
2.00, kodim20, 0.2028, 40.3124, 393216
2.00, kodim12, 0.1739, 42.5790, 393216
2.00, kodim22, 0.2906, 72.1269, 393216
2.00, kodim19, 0.2559, 63.0038, 393216
2.00, kodim02, 0.1887, 57.6646, 393216
2.00, kodim10, 0.1968, 44.9857, 393216
2.00, kodim05, 0.5395, 77.6017, 393216
2.00, kodim23, 0.1552, 34.7131, 393216
2.00, kodim11, 0.3062, 69.5965, 393216
2.00, kodim24, 0.4330, 78.8486, 393216
2.00, kodim01, 0.5079, 87.2813, 393216
2.00, kodim04, 0.2090, 54.6866, 393216
2.00, kodim14, 0.3901, 83.4577, 393216
2.00, kodim13, 0.7352, 120.4795, 393216
2.00, kodim06, 0.3694, 70.0475, 393216
2.00, kodim16, 0.2200, 58.0212, 393216
2.00, kodim07, 0.2371, 39.9865, 393216
3.00, kodim03, 0.2398, 20.7402, 393216
3.00, kodim08, 0.7948, 50.5489, 393216
3.00, kodim21, 0.5063, 35.8381, 393216
3.00, kodim18, 0.6288, 48.0794, 393216
3.00, kodim15, 0.3034, 28.5014, 393216
