level,fn,bpp,mse,np
3.00, kodim09, 0.2579, 21.1121, 393216
3.00, kodim17, 0.3196, 29.5258, 393216
3.00, kodim20, 0.2973, 23.6403, 393216
3.00, kodim12, 0.2574, 25.5622, 393216
3.00, kodim22, 0.4523, 41.9367, 393216
3.00, kodim19, 0.3955, 35.5579, 393216
3.00, kodim02, 0.2923, 35.2102, 393216
3.00, kodim10, 0.2780, 25.5441, 393216
3.00, kodim05, 0.7575, 45.4731, 393216
3.00, kodim23, 0.2108, 19.1789, 393216
3.00, kodim11, 0.4607, 38.9940, 393216
3.00, kodim24, 0.6302, 44.4406, 393216
3.00, kodim01, 0.7749, 50.2815, 393216
3.00, kodim04, 0.3130, 31.6190, 393216
3.00, kodim14, 0.5858, 47.2399, 393216
3.00, kodim13, 1.0934, 68.1254, 393216
3.00, kodim06, 0.5526, 39.3334, 393216
3.00, kodim16, 0.3445, 31.6383, 393216
3.00, kodim07, 0.3289, 21.9054, 393216
4.00, kodim03, 0.3346, 11.9328, 393216
4.00, kodim08, 1.1038, 30.5825, 393216
4.00, kodim21, 0.7086, 21.3628, 393216
4.00, kodim18, 0.8860, 29.3447, 393216
4.00, kodim15, 0.4404, 17.4378, 393216
4.00, kodim09, 0.3556, 13.1923, 393216
4.00, kodim17, 0.4535, 17.1158, 393216
4.00, kodim20, 0.4305, 14.6872, 393216
4.00, kodim12, 0.3791, 15.7443, 393216
4.00, kodim22, 0.6780, 25.0539, 393216
4.00, kodim19, 0.5952, 21.1068, 393216
4.00, kodim02, 0.4532, 21.5980, 393216
4.00, kodim10, 0.3877, 15.4518, 393216
4.00, kodim05, 1.0294, 26.9121, 393216
4.00, kodim23, 0.2840, 11.9081, 393216
4.00, kodim11, 0.6749, 23.0461, 393216
4.00, kodim24, 0.8734, 26.2885, 393216
4.00, kodim01, 1.1079, 28.9540, 393216
4.00, kodim04, 0.4626, 19.0276, 393216
4.00, kodim14, 0.8526, 27.7215, 393216
4.00, kodim13, 1.5203, 38.8100, 393216
4.00, kodim06, 0.7897, 22.7656, 393216
4.00, kodim16, 0.5155, 18.1287, 393216
4.00, kodim07, 0.4462, 12.9706, 393216
5.00, kodim03, 0.4653, 7.4009, 393216
5.00, kodim08, 1.4898, 18.5163, 393216
5.00, kodim21, 0.9530, 13.1548, 393216
5.00, kodim18, 1.2034, 18.8237, 393216
5.00, kodim15, 0.6300, 11.1841, 393216
5.00, kodim09, 0.4820, 9.1263, 393216
5.00, kodim17, 0.6358, 10.8489, 393216
5.00, kodim20, 0.6003, 9.4052, 393216
5.00, kodim12, 0.5530, 9.9304, 393216
5.00, kodim22, 0.9656, 15.4151, 393216
5.00, kodim19, 0.8509, 12.9119, 393216
5.00, kodim02, 0.6843, 13.2748, 393216
5.00, kodim10, 0.5355, 10.1382, 393216
5.00, kodim05, 1.3635, 16.2425, 393216
5.00, kodim23, 0.3859, 8.0454, 393216
5.00, kodim11, 0.9597, 13.6602, 393216
5.00, kodim24, 1.1749, 15.9472, 393216
5.00, kodim01, 1.5066, 16.3513, 393216
5.00, kodim04, 0.6678, 12.0972, 393216
5.00, kodim14, 1.1945, 16.3357, 393216
5.00, kodim13, 1.9977, 22.3878, 393216
5.00, kodim06, 1.0862, 13.3220, 393216
5.00, kodim16, 0.7427, 10.6410, 393216
5.00, kodim07, 0.5977, 8.1543, 393216
6.00, kodim03, 0.6336, 4.8174, 393216
6.00, kodim08, 1.9375, 11.7323, 393216
6.00, kodim21, 1.2321, 8.6751, 393216
6.00, kodim18, 1.5849, 12.8982, 393216
6.00, kodim15, 0.8783, 7.3857, 393216
6.00, kodim09, 0.6503, 6.6550, 393216
6.00, kodim17, 0.8751, 7.1492, 393216
6.00, kodim20, 0.8037, 6.4667, 393216
6.00, kodim12, 0.7872, 6.4407, 393216
6.00, kodim22, 1.3079, 10.1054, 393216
6.00, kodim19, 1.1593, 8.2401, 393216
6.00, kodim02, 1.0003, 8.3824, 393216
6.00, kodim10, 0.7347, 7.0792, 393216
6.00, kodim05, 1.7581, 10.2861, 393216
6.00, kodim23, 0.5243, 5.8285, 393216
6.00, kodim11, 1.3056, 8.3424, 393216
6.00, kodim24, 1.5239, 10.3054, 393216
6.00, kodim01, 1.9509, 9.5397, 393216
6.00, kodim04, 0.9458, 7.8211, 393216
6.00, kodim14, 1.6046, 9.9850, 393216
6.00, kodim13, 2.4811, 13.9434, 393216
6.00, kodim06, 1.4335, 8.1048, 393216
6.00, kodim16, 1.0204, 6.4368, 393216
6.00, kodim07, 0.7857, 5.5509, 393216
7.00, kodim03, 0.8451, 3.3588, 393216
7.00, kodim08, 2.4278, 7.9396, 393216
7.00, kodim21, 1.5527, 6.1540, 393216
7.00, kodim18, 2.0571, 9.2582, 393216
7.00, kodim15, 1.1878, 5.1388, 393216
7.00, kodim09, 0.8973, 5.0500, 393216
7.00, kodim17, 1.1957, 4.8690, 393216
7.00, kodim20, 1.0478, 4.8415, 393216
7.00, kodim12, 1.0952, 4.2638, 393216
7.00, kodim22, 1.7022, 7.1595, 393216
7.00, kodim19, 1.5100, 5.6396, 393216
7.00, kodim02, 1.4094, 5.4800, 393216
7.00, kodim10, 1.0282, 5.0540, 393216
7.00, kodim05, 2.1932, 7.0367, 393216
7.00, kodim23, 0.7212, 4.4589, 393216
7.00, kodim11, 1.7055, 5.3929, 393216
7.00, kodim24, 1.9191, 7.2930, 393216
7.00, kodim01, 2.4117, 5.9828, 393216
7.00, kodim04, 1.3018, 5.1970, 393216
7.00, kodim14, 2.0633, 6.5429, 393216
7.00, kodim13, 2.9529, 9.7678, 393216
7.00, kodim06, 1.8192, 5.2531, 393216
7.00, kodim16, 1.3560, 4.0747, 393216
7.00, kodim07, 1.0177, 4.0692, 393216
