active, fn, bpp, mse, np
256.00, kodak/kodim03.png, 0.2540, 35.8618, 393216
256.00, kodak/kodim08.png, 0.6687, 139.6395, 393216
256.00, kodak/kodim21.png, 0.4261, 73.8744, 393216
256.00, kodak/kodim18.png, 0.4951, 107.3453, 393216
256.00, kodak/kodim15.png, 0.2876, 53.9171, 393216
256.00, kodak/kodim09.png, 0.2752, 39.1251, 393216
256.00, kodak/kodim17.png, 0.3078, 49.6670, 393216
256.00, kodak/kodim20.png, 0.2793, 46.9611, 393216
256.00, kodak/kodim12.png, 0.2534, 41.8755, 393216
256.00, kodak/kodim22.png, 0.3760, 73.6525, 393216
256.00, kodak/kodim19.png, 0.3537, 64.5567, 393216
256.00, kodak/kodim02.png, 0.2716, 55.3746, 393216
256.00, kodak/kodim10.png, 0.2906, 44.1202, 393216
256.00, kodak/kodim05.png, 0.6719, 112.2530, 393216
256.00, kodak/kodim23.png, 0.2356, 35.6916, 393216
256.00, kodak/kodim11.png, 0.3935, 74.6196, 393216
256.00, kodak/kodim24.png, 0.4934, 116.3192, 393216
256.00, kodak/kodim01.png, 0.5895, 106.1219, 393216
256.00, kodak/kodim04.png, 0.2960, 54.8549, 393216
256.00, kodak/kodim14.png, 0.5093, 92.8684, 393216
256.00, kodak/kodim13.png, 0.7107, 198.0340, 393216
256.00, kodak/kodim06.png, 0.4540, 82.6241, 393216
256.00, kodak/kodim16.png, 0.3026, 50.8825, 393216
256.00, kodak/kodim07.png, 0.3399, 44.1890, 393216
240.00, kodak/kodim03.png, 0.2484, 38.7383, 393216
240.00, kodak/kodim08.png, 0.6418, 152.3452, 393216
240.00, kodak/kodim21.png, 0.4139, 81.1114, 393216
240.00, kodak/kodim18.png, 0.4799, 112.0876, 393216
240.00, kodak/kodim15.png, 0.2794, 67.0672, 393216
240.00, kodak/kodim09.png, 0.2688, 44.3374, 393216
240.00, kodak/kodim17.png, 0.3018, 56.3892, 393216
240.00, kodak/kodim20.png, 0.2725, 60.0944, 393216
240.00, kodak/kodim12.png, 0.2483, 55.1419, 393216
240.00, kodak/kodim22.png, 0.3650, 76.1308, 393216
240.00, kodak/kodim19.png, 0.3418, 70.9952, 393216
240.00, kodak/kodim02.png, 0.2587, 54.6886, 393216
240.00, kodak/kodim10.png, 0.2841, 48.1481, 393216
240.00, kodak/kodim05.png, 0.6489, 121.0707, 393216
240.00, kodak/kodim23.png, 0.2296, 41.1692, 393216
240.00, kodak/kodim11.png, 0.3819, 78.4658, 393216
240.00, kodak/kodim24.png, 0.4769, 119.1381, 393216
240.00, kodak/kodim01.png, 0.5687, 109.3460, 393216
