active,fn,bpp,mse,np
256.00, 03.png, 2.1490, 18.3234, 393216
256.00, 08.png, 2.6046, 74.7871, 393216
256.00, 21.png, 2.3635, 39.8874, 393216
256.00, 18.png, 2.4387, 56.4484, 393216
256.00, 15.png, 2.2198, 32.2921, 393216
256.00, 09.png, 2.2228, 19.5261, 393216
256.00, 17.png, 2.2483, 24.6845, 393216
256.00, 20.png, 2.2247, 29.0647, 393216
256.00, 12.png, 2.1863, 20.5663, 393216
256.00, 22.png, 2.2707, 37.1285, 393216
256.00, 19.png, 2.2901, 32.6706, 393216
256.00, 02.png, 2.1825, 25.9450, 393216
256.00, 10.png, 2.2478, 19.8307, 393216
256.00, 05.png, 2.6025, 57.4556, 393216
256.00, 23.png, 2.1315, 19.9605, 393216
256.00, 11.png, 2.2939, 37.4959, 393216
256.00, 24.png, 2.4054, 59.2187, 393216
256.00, 01.png, 2.4834, 54.7045, 393216
256.00, 04.png, 2.2375, 26.5523, 393216
256.00, 14.png, 2.4218, 45.4570, 393216
256.00, 13.png, 2.6422, 113.5764, 393216
256.00, 06.png, 2.3596, 43.5591, 393216
256.00, 16.png, 2.2156, 23.4978, 393216
256.00, 07.png, 2.2498, 21.2222, 393216
240.00, 03.png, 1.7197, 16.8110, 393216
240.00, 08.png, 2.1802, 72.6226, 393216
240.00, 21.png, 1.9343, 39.0735, 393216
240.00, 18.png, 1.9962, 54.7829, 393216
240.00, 15.png, 1.7934, 28.5155, 393216
240.00, 09.png, 1.7776, 18.3278, 393216
240.00, 17.png, 1.8061, 23.0664, 393216
240.00, 20.png, 1.7971, 25.2254, 393216
240.00, 12.png, 1.7596, 19.3179, 393216
240.00, 22.png, 1.8433, 35.6513, 393216
240.00, 19.png, 1.8473, 31.3685, 393216
240.00, 02.png, 1.7577, 24.3438, 393216
240.00, 10.png, 1.8031, 18.8118, 393216
240.00, 05.png, 2.1771, 54.9093, 393216
240.00, 23.png, 1.7041, 17.9413, 393216
240.00, 11.png, 1.8661, 35.7954, 393216
240.00, 24.png, 1.9780, 57.5122, 393216
240.00, 01.png, 2.0562, 53.1368, 393216
240.00, 04.png, 1.7944, 24.8662, 393216
240.00, 14.png, 1.9959, 43.7428, 393216
240.00, 13.png, 2.2159, 111.2325, 393216
240.00, 06.png, 1.9349, 41.2521, 393216
240.00, 16.png, 1.7864, 22.5880, 393216
240.00, 07.png, 1.8207, 19.7700, 393216
224.00, 03.png, 1.3427, 16.9204, 393216
224.00, 08.png, 1.8060, 74.8522, 393216
224.00, 21.png, 1.5575, 40.2186, 393216
224.00, 18.png, 1.6156, 56.8475, 393216
224.00, 15.png, 1.4167, 28.1484, 393216
224.00, 09.png, 1.3944, 18.5024, 393216
224.00, 17.png, 1.4252, 23.7293, 393216
224.00, 20.png, 1.4213, 25.7875, 393216
224.00, 12.png, 1.3838, 19.1774, 393216
224.00, 22.png, 1.4683, 36.7359, 393216
224.00, 19.png, 1.4660, 32.2525, 393216
224.00, 02.png, 1.3845, 25.7552, 393216
224.00, 10.png, 1.4196, 19.2689, 393216
224.00, 05.png, 1.8023, 56.5684, 393216
224.00, 23.png, 1.3291, 18.2712, 393216
224.00, 11.png, 1.4909, 37.1794, 393216
224.00, 24.png, 1.6022, 60.1730, 393216
224.00, 01.png, 1.6809, 55.5949, 393216
224.00, 04.png, 1.4134, 25.2490, 393216
224.00, 14.png, 1.6213, 45.4374, 393216
224.00, 13.png, 1.8407, 116.5978, 393216
224.00, 06.png, 1.5603, 42.9348, 393216
224.00, 16.png, 1.4096, 23.3844, 393216
224.00, 07.png, 1.4443, 20.1377, 393216
208.00, 03.png, 1.0283, 17.9996, 393216
208.00, 08.png, 1.4952, 81.6798, 393216
208.00, 21.png, 1.2438, 43.8562, 393216
208.00, 18.png, 1.3034, 61.5718, 393216
208.00, 15.png, 1.1029, 30.2247, 393216
208.00, 09.png, 1.0799, 19.8780, 393216
208.00, 17.png, 1.1124, 25.1362, 393216
208.00, 20.png, 1.1090, 26.3843, 393216
