active,fn,bpp,mse,np
256.00, 03.png, 1.4091, 10.7089, 393216
256.00, 08.png, 2.2631, 47.6776, 393216
256.00, 21.png, 1.7374, 23.8868, 393216
256.00, 18.png, 1.9856, 36.8076, 393216
256.00, 15.png, 1.6832, 16.9657, 393216
256.00, 09.png, 1.4744, 12.7651, 393216
256.00, 17.png, 1.6363, 14.9494, 393216
256.00, 20.png, 1.6279, 15.0317, 393216
256.00, 12.png, 1.5864, 11.2480, 393216
256.00, 22.png, 1.7809, 24.2038, 393216
256.00, 19.png, 1.6848, 20.3016, 393216
256.00, 02.png, 1.6706, 15.1222, 393216
256.00, 10.png, 1.5485, 12.8052, 393216
256.00, 05.png, 2.2080, 34.4868, 393216
256.00, 23.png, 1.4013, 12.0436, 393216
256.00, 11.png, 1.7915, 22.0579, 393216
256.00, 24.png, 1.9446, 38.2114, 393216
256.00, 01.png, 2.0999, 32.6892, 393216
256.00, 04.png, 1.6424, 15.5082, 393216
256.00, 14.png, 2.0208, 27.8703, 393216
256.00, 13.png, 2.3022, 69.6433, 393216
256.00, 06.png, 1.8811, 24.4239, 393216
256.00, 16.png, 1.6017, 13.3497, 393216
256.00, 07.png, 1.5370, 13.6569, 393216
240.00, 03.png, 1.3432, 9.6955, 393216
240.00, 08.png, 2.1575, 46.8543, 393216
240.00, 21.png, 1.6593, 23.4287, 393216
240.00, 18.png, 1.8980, 36.0775, 393216
240.00, 15.png, 1.5956, 16.6177, 393216
240.00, 09.png, 1.4043, 11.6783, 393216
240.00, 17.png, 1.5602, 14.1821, 393216
240.00, 20.png, 1.5351, 14.7090, 393216
240.00, 12.png, 1.5055, 10.6625, 393216
240.00, 22.png, 1.7035, 23.3991, 393216
240.00, 19.png, 1.6107, 19.2259, 393216
240.00, 02.png, 1.6014, 14.7320, 393216
240.00, 10.png, 1.4794, 12.0970, 393216
240.00, 05.png, 2.1117, 33.3453, 393216
240.00, 23.png, 1.3322, 11.0325, 393216
240.00, 11.png, 1.7150, 21.5952, 393216
240.00, 24.png, 1.8593, 37.8617, 393216
240.00, 01.png, 2.0086, 32.2058, 393216
240.00, 04.png, 1.5698, 14.7852, 393216
240.00, 14.png, 1.9312, 26.9137, 393216
240.00, 13.png, 2.2039, 70.4163, 393216
240.00, 06.png, 1.7956, 24.1259, 393216
240.00, 16.png, 1.5310, 12.9458, 393216
240.00, 07.png, 1.4662, 12.7013, 393216
224.00, 03.png, 1.2329, 10.4348, 393216
224.00, 08.png, 1.9977, 52.1340, 393216
224.00, 21.png, 1.5271, 26.5253, 393216
224.00, 18.png, 1.7530, 39.6769, 393216
224.00, 15.png, 1.4613, 18.2072, 393216
224.00, 09.png, 1.2892, 12.6203, 393216
224.00, 17.png, 1.4373, 15.6349, 393216
224.00, 20.png, 1.3963, 16.7827, 393216
224.00, 12.png, 1.3808, 11.8890, 393216
224.00, 22.png, 1.5680, 25.7538, 393216
224.00, 19.png, 1.4828, 21.2220, 393216
224.00, 02.png, 1.4709, 15.8862, 393216
224.00, 10.png, 1.3621, 13.2933, 393216
224.00, 05.png, 1.9609, 36.7612, 393216
224.00, 23.png, 1.2202, 11.6926, 393216
224.00, 11.png, 1.5816, 23.9810, 393216
224.00, 24.png, 1.7166, 42.7184, 393216
224.00, 01.png, 1.8557, 36.6808, 393216
224.00, 04.png, 1.4451, 16.0485, 393216
224.00, 14.png, 1.7867, 29.6348, 393216
224.00, 13.png, 2.0320, 81.5960, 393216
224.00, 06.png, 1.6515, 27.7297, 393216
224.00, 16.png, 1.4076, 14.5424, 393216
224.00, 07.png, 1.3540, 13.6706, 393216
208.00, 03.png, 1.1113, 11.2591, 393216
208.00, 08.png, 1.8198, 58.9319, 393216
208.00, 21.png, 1.3793, 30.4265, 393216
208.00, 18.png, 1.5886, 44.9356, 393216
208.00, 15.png, 1.3141, 19.7574, 393216
208.00, 09.png, 1.1613, 13.3054, 393216
208.00, 17.png, 1.2994, 17.6155, 393216
208.00, 20.png, 1.2515, 17.9452, 393216
208.00, 12.png, 1.2434, 12.4678, 393216
