level,fn,bpp,mse,np
3.00, kodak/kodim01.png, 0.1423, 324.5769, 393216
3.00, kodak/kodim04.png, 0.0794, 174.8576, 393216
3.00, kodak/kodim14.png, 0.1280, 293.3867, 393216
3.00, kodak/kodim13.png, 0.2107, 434.2263, 393216
3.00, kodak/kodim06.png, 0.1182, 252.3348, 393216
3.00, kodak/kodim16.png, 0.0689, 187.2627, 393216
3.00, kodak/kodim07.png, 0.0982, 176.5125, 393216
4.00, kodak/kodim03.png, 0.0724, 127.9809, 393216
4.00, kodak/kodim08.png, 0.2267, 289.5228, 393216
4.00, kodak/kodim21.png, 0.1249, 213.1849, 393216
4.00, kodak/kodim18.png, 0.1406, 302.7539, 393216
4.00, kodak/kodim15.png, 0.0868, 141.3572, 393216
4.00, kodak/kodim09.png, 0.0839, 138.7122, 393216
4.00, kodak/kodim17.png, 0.0918, 180.1810, 393216
4.00, kodak/kodim20.png, 0.0874, 132.9079, 393216
4.00, kodak/kodim12.png, 0.0742, 130.6931, 393216
4.00, kodak/kodim22.png, 0.0960, 221.4816, 393216
4.00, kodak/kodim19.png, 0.0981, 172.2673, 393216
4.00, kodak/kodim02.png, 0.0772, 155.6017, 393216
4.00, kodak/kodim10.png, 0.0842, 168.5927, 393216
4.00, kodak/kodim05.png, 0.2040, 304.5538, 393216
4.00, kodak/kodim23.png, 0.0780, 110.0200, 393216
4.00, kodak/kodim11.png, 0.1072, 216.8547, 393216
4.00, kodak/kodim24.png, 0.1515, 292.6685, 393216
4.00, kodak/kodim01.png, 0.1515, 303.4890, 393216
4.00, kodak/kodim04.png, 0.0825, 172.1981, 393216
4.00, kodak/kodim14.png, 0.1353, 284.6268, 393216
4.00, kodak/kodim13.png, 0.2241, 415.6202, 393216
4.00, kodak/kodim06.png, 0.1256, 241.1320, 393216
4.00, kodak/kodim16.png, 0.0724, 186.8543, 393216
4.00, kodak/kodim07.png, 0.1033, 164.3649, 393216
5.00, kodak/kodim03.png, 0.0750, 121.1466, 393216
5.00, kodak/kodim08.png, 0.2371, 275.3064, 393216
5.00, kodak/kodim21.png, 0.1320, 199.3541, 393216
5.00, kodak/kodim18.png, 0.1490, 288.8798, 393216
5.00, kodak/kodim15.png, 0.0901, 135.2064, 393216
5.00, kodak/kodim09.png, 0.0870, 132.6327, 393216
5.00, kodak/kodim17.png, 0.0951, 174.1386, 393216
