active, fn, bpp, mse, np
256.00, kodak/kodim03.png, 0.5503, 27.3709, 393216
256.00, kodak/kodim08.png, 1.2706, 76.4171, 393216
256.00, kodak/kodim21.png, 0.8272, 48.0807, 393216
256.00, kodak/kodim18.png, 1.0133, 62.4773, 393216
256.00, kodak/kodim15.png, 0.7071, 37.2748, 393216
256.00, kodak/kodim09.png, 0.5765, 35.7251, 393216
256.00, kodak/kodim17.png, 0.6733, 32.6522, 393216
256.00, kodak/kodim20.png, 0.6824, 32.3696, 393216
256.00, kodak/kodim12.png, 0.6505, 32.4112, 393216
256.00, kodak/kodim22.png, 0.8309, 46.5464, 393216
256.00, kodak/kodim19.png, 0.7595, 41.4681, 393216
256.00, kodak/kodim02.png, 0.7091, 31.9013, 393216
256.00, kodak/kodim10.png, 0.6188, 29.8492, 393216
256.00, kodak/kodim05.png, 1.2372, 60.6465, 393216
256.00, kodak/kodim23.png, 0.5282, 30.4230, 393216
256.00, kodak/kodim11.png, 0.8567, 42.8027, 393216
256.00, kodak/kodim24.png, 0.9918, 65.5814, 393216
256.00, kodak/kodim01.png, 1.1636, 59.5429, 393216
256.00, kodak/kodim04.png, 0.6905, 37.0342, 393216
256.00, kodak/kodim14.png, 1.0379, 52.3718, 393216
256.00, kodak/kodim13.png, 1.3620, 107.6434, 393216
256.00, kodak/kodim06.png, 0.9568, 46.8189, 393216
256.00, kodak/kodim16.png, 0.6933, 32.7548, 393216
256.00, kodak/kodim07.png, 0.6583, 33.7505, 393216
240.00, kodak/kodim03.png, 0.5339, 20.8042, 393216
240.00, kodak/kodim08.png, 1.2194, 72.3539, 393216
240.00, kodak/kodim21.png, 0.7994, 41.4097, 393216
240.00, kodak/kodim18.png, 0.9777, 57.9888, 393216
240.00, kodak/kodim15.png, 0.6771, 30.5100, 393216
240.00, kodak/kodim09.png, 0.5582, 25.7400, 393216
240.00, kodak/kodim17.png, 0.6515, 27.3201, 393216
240.00, kodak/kodim20.png, 0.6532, 25.9229, 393216
240.00, kodak/kodim12.png, 0.6255, 24.3343, 393216
240.00, kodak/kodim22.png, 0.8018, 41.7563, 393216
240.00, kodak/kodim19.png, 0.7334, 35.3368, 393216
240.00, kodak/kodim02.png, 0.6814, 28.8524, 393216
240.00, kodak/kodim10.png, 0.6005, 24.6209, 393216
240.00, kodak/kodim05.png, 1.1937, 56.4624, 393216
240.00, kodak/kodim23.png, 0.5092, 23.6781, 393216
240.00, kodak/kodim11.png, 0.8260, 39.6010, 393216
240.00, kodak/kodim24.png, 0.9573, 60.9378, 393216
240.00, kodak/kodim01.png, 1.1207, 55.4381, 393216
240.00, kodak/kodim04.png, 0.6666, 31.2291, 393216
240.00, kodak/kodim14.png, 1.0019, 49.0585, 393216
240.00, kodak/kodim13.png, 1.3087, 106.2788, 393216
240.00, kodak/kodim06.png, 0.9192, 43.4884, 393216
240.00, kodak/kodim16.png, 0.6712, 27.9260, 393216
240.00, kodak/kodim07.png, 0.6382, 26.5492, 393216
224.00, kodak/kodim03.png, 0.4772, 20.4626, 393216
224.00, kodak/kodim08.png, 1.1031, 75.9832, 393216
224.00, kodak/kodim21.png, 0.7193, 43.5502, 393216
224.00, kodak/kodim18.png, 0.8781, 60.9907, 393216
224.00, kodak/kodim15.png, 0.5956, 31.2429, 393216
224.00, kodak/kodim09.png, 0.4974, 24.6375, 393216
224.00, kodak/kodim17.png, 0.5822, 27.7087, 393216
224.00, kodak/kodim20.png, 0.5778, 26.9018, 393216
224.00, kodak/kodim12.png, 0.5519, 23.8887, 393216
224.00, kodak/kodim22.png, 0.7150, 43.4589, 393216
224.00, kodak/kodim19.png, 0.6583, 36.2992, 393216
224.00, kodak/kodim02.png, 0.5998, 30.0389, 393216
224.00, kodak/kodim10.png, 0.5369, 24.6490, 393216
224.00, kodak/kodim05.png, 1.0838, 59.3073, 393216
224.00, kodak/kodim23.png, 0.4507, 23.9935, 393216
224.00, kodak/kodim11.png, 0.7386, 41.4758, 393216
224.00, kodak/kodim24.png, 0.8603, 65.2631, 393216
224.00, kodak/kodim01.png, 1.0088, 59.2973, 393216
224.00, kodak/kodim04.png, 0.5916, 31.9448, 393216
224.00, kodak/kodim14.png, 0.9018, 50.5156, 393216
224.00, kodak/kodim13.png, 1.1780, 117.8893, 393216
224.00, kodak/kodim06.png, 0.8206, 46.4210, 393216
224.00, kodak/kodim16.png, 0.6002, 28.6333, 393216
224.00, kodak/kodim07.png, 0.5767, 26.2121, 393216
208.00, kodak/kodim03.png, 0.4364, 20.3646, 393216
208.00, kodak/kodim08.png, 0.9975, 83.5985, 393216
208.00, kodak/kodim21.png, 0.6550, 46.4986, 393216
208.00, kodak/kodim18.png, 0.7928, 66.4344, 393216
208.00, kodak/kodim15.png, 0.5359, 32.2400, 393216
208.00, kodak/kodim09.png, 0.4570, 23.1751, 393216
208.00, kodak/kodim17.png, 0.5328, 29.3368, 393216
208.00, kodak/kodim20.png, 0.5205, 28.1980, 393216
208.00, kodak/kodim12.png, 0.4980, 23.8074, 393216
208.00, kodak/kodim22.png, 0.6433, 45.9433, 393216
208.00, kodak/kodim19.png, 0.5961, 38.0665, 393216
208.00, kodak/kodim02.png, 0.5349, 31.1802, 393216
208.00, kodak/kodim10.png, 0.4924, 25.1793, 393216
208.00, kodak/kodim05.png, 0.9850, 65.3744, 393216
208.00, kodak/kodim23.png, 0.4119, 23.3872, 393216
208.00, kodak/kodim11.png, 0.6650, 44.6815, 393216
208.00, kodak/kodim24.png, 0.7757, 72.4372, 393216
208.00, kodak/kodim01.png, 0.9061, 65.7946, 393216
208.00, kodak/kodim04.png, 0.5334, 32.0740, 393216
208.00, kodak/kodim14.png, 0.8156, 54.0743, 393216
208.00, kodak/kodim13.png, 1.0549, 134.8925, 393216
208.00, kodak/kodim06.png, 0.7379, 50.9910, 393216
208.00, kodak/kodim16.png, 0.5429, 29.8793, 393216
208.00, kodak/kodim07.png, 0.5329, 25.2388, 393216
192.00, kodak/kodim03.png, 0.3727, 22.3212, 393216
192.00, kodak/kodim08.png, 0.8639, 95.6660, 393216
192.00, kodak/kodim21.png, 0.5639, 53.5120, 393216
192.00, kodak/kodim18.png, 0.6774, 76.2443, 393216
192.00, kodak/kodim15.png, 0.4500, 34.9436, 393216
192.00, kodak/kodim09.png, 0.3913, 25.2677, 393216
192.00, kodak/kodim17.png, 0.4566, 32.4305, 393216
192.00, kodak/kodim20.png, 0.4429, 31.3120, 393216
192.00, kodak/kodim12.png, 0.4170, 26.1766, 393216
192.00, kodak/kodim22.png, 0.5420, 51.4042, 393216
192.00, kodak/kodim19.png, 0.5096, 42.2455, 393216
192.00, kodak/kodim02.png, 0.4385, 35.1907, 393216
192.00, kodak/kodim10.png, 0.4170, 27.9351, 393216
192.00, kodak/kodim05.png, 0.8565, 76.2401, 393216
192.00, kodak/kodim23.png, 0.3496, 25.2058, 393216
192.00, kodak/kodim11.png, 0.5644, 50.3920, 393216
192.00, kodak/kodim24.png, 0.6618, 84.7102, 393216
192.00, kodak/kodim01.png, 0.7762, 76.6856, 393216
192.00, kodak/kodim04.png, 0.4476, 36.6587, 393216
192.00, kodak/kodim14.png, 0.6991, 60.4529, 393216
192.00, kodak/kodim13.png, 0.9074, 158.3943, 393216
192.00, kodak/kodim06.png, 0.6295, 58.7222, 393216
192.00, kodak/kodim16.png, 0.4595, 33.4242, 393216
192.00, kodak/kodim07.png, 0.4647, 27.5321, 393216
176.00, kodak/kodim03.png, 0.3403, 26.9973, 393216
176.00, kodak/kodim08.png, 0.7612, 114.1925, 393216
176.00, kodak/kodim21.png, 0.5060, 63.9009, 393216
176.00, kodak/kodim18.png, 0.5978, 90.3007, 393216
176.00, kodak/kodim15.png, 0.4012, 40.6706, 393216
176.00, kodak/kodim09.png, 0.3577, 29.1556, 393216
176.00, kodak/kodim17.png, 0.4151, 38.9190, 393216
176.00, kodak/kodim20.png, 0.3950, 37.0103, 393216
176.00, kodak/kodim12.png, 0.3731, 29.2378, 393216
176.00, kodak/kodim22.png, 0.4797, 58.5274, 393216
176.00, kodak/kodim19.png, 0.4533, 48.9944, 393216
176.00, kodak/kodim02.png, 0.3851, 39.9979, 393216
176.00, kodak/kodim10.png, 0.3789, 33.1799, 393216
176.00, kodak/kodim05.png, 0.7575, 92.5391, 393216
176.00, kodak/kodim23.png, 0.3228, 30.2512, 393216
176.00, kodak/kodim11.png, 0.4974, 59.6180, 393216
176.00, kodak/kodim24.png, 0.5821, 99.5247, 393216
176.00, kodak/kodim01.png, 0.6766, 90.2914, 393216
176.00, kodak/kodim04.png, 0.4005, 39.7555, 393216
176.00, kodak/kodim14.png, 0.6164, 71.4767, 393216
176.00, kodak/kodim13.png, 0.7875, 190.1248, 393216
176.00, kodak/kodim06.png, 0.5522, 69.6308, 393216
176.00, kodak/kodim16.png, 0.4071, 38.9599, 393216
176.00, kodak/kodim07.png, 0.4267, 30.8808, 393216
160.00, kodak/kodim03.png, 0.2554, 33.8309, 393216
160.00, kodak/kodim08.png, 0.6006, 133.1561, 393216
160.00, kodak/kodim21.png, 0.3906, 77.4959, 393216
160.00, kodak/kodim18.png, 0.4545, 111.5441, 393216
160.00, kodak/kodim15.png, 0.3074, 47.9176, 393216
160.00, kodak/kodim09.png, 0.2753, 38.8758, 393216
160.00, kodak/kodim17.png, 0.3052, 51.6256, 393216
160.00, kodak/kodim20.png, 0.3061, 45.6663, 393216
160.00, kodak/kodim12.png, 0.2701, 40.2075, 393216
160.00, kodak/kodim22.png, 0.3545, 74.6277, 393216
160.00, kodak/kodim19.png, 0.3421, 61.1399, 393216
160.00, kodak/kodim02.png, 0.2818, 50.2951, 393216
160.00, kodak/kodim10.png, 0.2830, 43.9163, 393216
160.00, kodak/kodim05.png, 0.5881, 114.8433, 393216
160.00, kodak/kodim23.png, 0.2473, 34.2949, 393216
160.00, kodak/kodim11.png, 0.3712, 74.0054, 393216
160.00, kodak/kodim24.png, 0.4444, 120.1286, 393216
160.00, kodak/kodim01.png, 0.5203, 109.8056, 393216
160.00, kodak/kodim04.png, 0.2964, 52.2637, 393216
160.00, kodak/kodim14.png, 0.4634, 92.1802, 393216
160.00, kodak/kodim13.png, 0.6144, 218.6274, 393216
160.00, kodak/kodim06.png, 0.4176, 87.4288, 393216
160.00, kodak/kodim16.png, 0.2969, 53.1361, 393216
160.00, kodak/kodim07.png, 0.3206, 43.1818, 393216
144.00, kodak/kodim03.png, 0.2343, 44.6705, 393216
144.00, kodak/kodim08.png, 0.5186, 160.6991, 393216
144.00, kodak/kodim21.png, 0.3437, 95.6424, 393216
144.00, kodak/kodim18.png, 0.3950, 133.0551, 393216
144.00, kodak/kodim15.png, 0.2792, 67.8675, 393216
144.00, kodak/kodim09.png, 0.2539, 50.4313, 393216
