hash,level,bpp,mse
032168144, 2, 0.3447, 66.7500
032168144, 3, 0.5037, 43.7402
032168144, 4, 0.7064, 34.2641
032168144, 5, 0.9626, 29.7973
032168144, 6, 1.2749, 27.4332
032168144, 7, 1.6281, 26.4252
032168256, 0, 0.1571, 116.3179
032168256, 1, 0.2319, 82.1166
032168256, 2, 0.3447, 66.4533
032168256, 3, 0.5037, 43.3622
032168256, 4, 0.7064, 33.8704
032168256, 5, 0.9626, 29.4221
032168256, 6, 1.2749, 27.0737
032168256, 7, 1.6281, 26.0823
032256032, 0, 0.1571, 123.7881
032256032, 1, 0.2319, 88.8916
032256032, 2, 0.3447, 72.7485
032256032, 3, 0.5037, 48.7719
032256032, 4, 0.7064, 38.4774
032256032, 5, 0.9626, 33.8709
032256032, 6, 1.2749, 30.9030
032256032, 7, 1.6281, 29.6400
032256064, 0, 0.1571, 113.4326
032256064, 1, 0.2319, 80.8966
032256064, 2, 0.3447, 67.1095
032256064, 3, 0.5037, 44.2845
032256064, 4, 0.7064, 35.1917
032256064, 5, 0.9626, 30.7225
032256064, 6, 1.2749, 28.3702
032256064, 7, 1.6281, 27.2877
032256096, 0, 0.1571, 112.2142
032256096, 1, 0.2319, 79.9500
032256096, 2, 0.3447, 65.8417
032256096, 3, 0.5037, 43.4111
032256096, 4, 0.7064, 34.3370
032256096, 5, 0.9626, 29.9788
032256096, 6, 1.2749, 27.6468
032256096, 7, 1.6281, 26.6391
032256144, 0, 0.1571, 114.9500
032256144, 1, 0.2319, 81.5281
032256144, 2, 0.3447, 66.1138
032256144, 3, 0.5037, 43.2764
032256144, 4, 0.7064, 33.9213
032256144, 5, 0.9626, 29.5102
032256144, 6, 1.2749, 27.1666
032256144, 7, 1.6281, 26.1756
032256256, 0, 0.1571, 115.1727
032256256, 1, 0.2319, 81.4271
032256256, 2, 0.3447, 65.8169
032256256, 3, 0.5037, 42.9039
032256256, 4, 0.7064, 33.5379
032256256, 5, 0.9626, 29.1441
032256256, 6, 1.2749, 26.8159
032256256, 7, 1.6281, 25.8395
088032032, 0, 0.1571, 127.6910
088032032, 1, 0.2319, 95.7911
088032032, 2, 0.3447, 78.8665
088032032, 3, 0.5037, 51.1263
088032032, 4, 0.7064, 36.0202
088032032, 5, 0.9626, 27.2808
088032032, 6, 1.2749, 20.2793
088032032, 7, 1.6281, 16.3937
088032064, 0, 0.1571, 119.8897
088032064, 1, 0.2319, 84.6990
088032064, 2, 0.3447, 65.9981
088032064, 3, 0.5037, 37.3225
088032064, 4, 0.7064, 23.6013
088032064, 5, 0.9626, 15.6490
088032064, 6, 1.2749, 10.8453
088032064, 7, 1.6281, 8.2214
088032096, 0, 0.1571, 119.6914
088032096, 1, 0.2319, 83.5919
088032096, 2, 0.3447, 64.8455
088032096, 3, 0.5037, 36.6040
088032096, 4, 0.7064, 22.9161
088032096, 5, 0.9626, 15.0203
088032096, 6, 1.2749, 10.2496
088032096, 7, 1.6281, 7.6933
088032144, 0, 0.1571, 120.9581
088032144, 1, 0.2319, 83.8818
088032144, 2, 0.3447, 64.7942
088032144, 3, 0.5037, 36.4981
088032144, 4, 0.7064, 22.6997
088032144, 5, 0.9626, 14.7508
088032144, 6, 1.2749, 9.9853
088032144, 7, 1.6281, 7.4424
088032256, 0, 0.1571, 122.2474
088032256, 1, 0.2319, 84.2292
088032256, 2, 0.3447, 64.6454
088032256, 3, 0.5037, 36.2697
088032256, 4, 0.7064, 22.4898
088032256, 5, 0.9626, 14.5758
088032256, 6, 1.2749, 9.8228
088032256, 7, 1.6281, 7.2902
088072032, 0, 0.1571, 129.1353
088072032, 1, 0.2319, 91.9631
088072032, 2, 0.3447, 72.0987
088072032, 3, 0.5037, 43.1432
088072032, 4, 0.7064, 28.3066
088072032, 5, 0.9626, 19.8075
088072032, 6, 1.2749, 14.0864
088072032, 7, 1.6281, 11.0274
088072064, 0, 0.1571, 116.9619
088072064, 1, 0.2319, 81.9360
088072064, 2, 0.3447, 64.0384
088072064, 3, 0.5037, 36.0321
088072064, 4, 0.7064, 22.6370
088072064, 5, 0.9626, 14.8022
088072064, 6, 1.2749, 10.1120
088072064, 7, 1.6281, 7.5679
088072096, 0, 0.1571, 119.1287
088072096, 1, 0.2319, 82.5974
088072096, 2, 0.3447, 63.2909
088072096, 3, 0.5037, 35.5878
088072096, 4, 0.7064, 22.0804
088072096, 5, 0.9626, 14.3360
088072096, 6, 1.2749, 9.6270
088072096, 7, 1.6281, 7.1469
088072144, 0, 0.1571, 125.6463
088072144, 1, 0.2319, 85.9466
088072144, 2, 0.3447, 64.0956
088072144, 3, 0.5037, 35.6476
088072144, 4, 0.7064, 21.8282
088072144, 5, 0.9626, 14.0925
088072144, 6, 1.2749, 9.3760
088072144, 7, 1.6281, 6.9230
088072256, 0, 0.1571, 129.1718
088072256, 1, 0.2319, 87.1709
088072256, 2, 0.3447, 64.1814
088072256, 3, 0.5037, 35.4562
088072256, 4, 0.7064, 21.5954
088072256, 5, 0.9626, 13.8778
088072256, 6, 1.2749, 9.1829
088072256, 7, 1.6281, 6.7439
088128032, 0, 0.1571, 128.4279
088128032, 1, 0.2319, 89.5732
088128032, 2, 0.3447, 68.8479
088128032, 3, 0.5037, 39.4474
088128032, 4, 0.7064, 24.6124
088128032, 5, 0.9626, 16.4043
088128032, 6, 1.2749, 11.1445
088128032, 7, 1.6281, 8.4464
088128064, 0, 0.1571, 115.0457
088128064, 1, 0.2319, 80.0228
088128064, 2, 0.3447, 62.5779
088128064, 3, 0.5037, 35.0488
088128064, 4, 0.7064, 21.9026
088128064, 5, 0.9626, 14.2404
088128064, 6, 1.2749, 9.6392
088128064, 7, 1.6281, 7.1400
088128096, 0, 0.1571, 117.1586
088128096, 1, 0.2319, 81.1122
088128096, 2, 0.3447, 62.1360
088128096, 3, 0.5037, 34.8737
088128096, 4, 0.7064, 21.5807
088128096, 5, 0.9626, 13.9875
088128096, 6, 1.2749, 9.3547
088128096, 7, 1.6281, 6.8952
