hash,level,bpp,mse
192168064, 5, 0.9626, 13.9931
192168064, 6, 1.2749, 9.3712
192168064, 7, 1.6281, 6.8976
192168096, 0, 0.1571, 119.6521
192168096, 1, 0.2319, 81.7560
192168096, 2, 0.3447, 61.8282
192168096, 3, 0.5037, 34.6097
192168096, 4, 0.7064, 21.2951
192168096, 5, 0.9626, 13.7340
192168096, 6, 1.2749, 9.1017
192168096, 7, 1.6281, 6.6652
192168144, 0, 0.1571, 131.7139
192168144, 1, 0.2319, 87.7430
192168144, 2, 0.3447, 63.7361
192168144, 3, 0.5037, 35.1177
192168144, 4, 0.7064, 21.2050
192168144, 5, 0.9626, 13.5769
192168144, 6, 1.2749, 8.9354
192168144, 7, 1.6281, 6.5317
192168256, 0, 0.1571, 138.1988
192168256, 1, 0.2319, 90.1294
192168256, 2, 0.3447, 64.3177
192168256, 3, 0.5037, 35.1470
192168256, 4, 0.7064, 21.0539
192168256, 5, 0.9626, 13.4040
192168256, 6, 1.2749, 8.7829
192168256, 7, 1.6281, 6.3942
192256032, 0, 0.1571, 127.5509
192256032, 1, 0.2319, 89.4270
192256032, 2, 0.3447, 68.3429
192256032, 3, 0.5037, 38.8716
192256032, 4, 0.7064, 23.8607
192256032, 5, 0.9626, 15.6384
192256032, 6, 1.2749, 10.4108
192256032, 7, 1.6281, 7.7691
192256064, 0, 0.1571, 113.6453
192256064, 1, 0.2319, 78.7726
192256064, 2, 0.3447, 61.5057
192256064, 3, 0.5037, 34.3270
192256064, 4, 0.7064, 21.3901
192256064, 5, 0.9626, 13.8515
192256064, 6, 1.2749, 9.2655
192256064, 7, 1.6281, 6.8073
192256096, 0, 0.1571, 118.4728
192256096, 1, 0.2319, 81.0340
192256096, 2, 0.3447, 61.3573
192256096, 3, 0.5037, 34.3174
192256096, 4, 0.7064, 21.1242
192256096, 5, 0.9626, 13.6083
192256096, 6, 1.2749, 9.0149
192256096, 7, 1.6281, 6.5925
192256144, 0, 0.1571, 130.6157
192256144, 1, 0.2319, 87.1844
192256144, 2, 0.3447, 63.3574
192256144, 3, 0.5037, 34.8502
192256144, 4, 0.7064, 21.0444
192256144, 5, 0.9626, 13.4581
192256144, 6, 1.2749, 8.8527
192256144, 7, 1.6281, 6.4611
192256256, 0, 0.1571, 136.7529
192256256, 1, 0.2319, 89.4766
192256256, 2, 0.3447, 63.9336
192256256, 3, 0.5037, 34.8865
192256256, 4, 0.7064, 20.9103
192256256, 5, 0.9626, 13.3031
192256256, 6, 1.2749, 8.7152
192256256, 7, 1.6281, 6.3377
256032032, 0, 0.1571, 126.6745
256032032, 1, 0.2319, 94.5415
256032032, 2, 0.3447, 77.9969
256032032, 3, 0.5037, 50.1539
256032032, 4, 0.7064, 35.1406
256032032, 5, 0.9626, 26.5480
256032032, 6, 1.2749, 19.5832
256032032, 7, 1.6281, 15.7421
256032064, 0, 0.1571, 119.1682
256032064, 1, 0.2319, 83.9735
256032064, 2, 0.3447, 65.7833
256032064, 3, 0.5037, 36.9853
256032064, 4, 0.7064, 23.2884
256032064, 5, 0.9626, 15.3690
256032064, 6, 1.2749, 10.5834
256032064, 7, 1.6281, 7.9803
256032096, 0, 0.1571, 120.4062
256032096, 1, 0.2319, 83.9358
256032096, 2, 0.3447, 65.0399
256032096, 3, 0.5037, 36.5325
256032096, 4, 0.7064, 22.7400
256032096, 5, 0.9626, 14.8504
256032096, 6, 1.2749, 10.0739
256032096, 7, 1.6281, 7.5294
256032144, 0, 0.1571, 123.2171
256032144, 1, 0.2319, 85.2647
256032144, 2, 0.3447, 65.4001
256032144, 3, 0.5037, 36.6821
256032144, 4, 0.7064, 22.6331
256032144, 5, 0.9626, 14.6686
256032144, 6, 1.2749, 9.8504
256032144, 7, 1.6281, 7.3116
256032256, 0, 0.1571, 125.4054
256032256, 1, 0.2319, 86.0937
256032256, 2, 0.3447, 65.4142
256032256, 3, 0.5037, 36.5413
256032256, 4, 0.7064, 22.4572
256032256, 5, 0.9626, 14.5176
256032256, 6, 1.2749, 9.7144
256032256, 7, 1.6281, 7.1841
256072032, 0, 0.1571, 129.0241
256072032, 1, 0.2319, 91.5967
256072032, 2, 0.3447, 71.6301
256072032, 3, 0.5037, 42.3932
256072032, 4, 0.7064, 27.4558
256072032, 5, 0.9626, 19.0528
256072032, 6, 1.2749, 13.3929
256072032, 7, 1.6281, 10.3760
256072064, 0, 0.1571, 116.5025
256072064, 1, 0.2319, 81.3742
256072064, 2, 0.3447, 63.8735
256072064, 3, 0.5037, 35.7478
256072064, 4, 0.7064, 22.3425
256072064, 5, 0.9626, 14.5383
256072064, 6, 1.2749, 9.8455
256072064, 7, 1.6281, 7.3077
256072096, 0, 0.1571, 120.2715
256072096, 1, 0.2319, 82.7913
256072096, 2, 0.3447, 63.3752
256072096, 3, 0.5037, 35.4977
256072096, 4, 0.7064, 21.8874
256072096, 5, 0.9626, 14.1501
256072096, 6, 1.2749, 9.4349
256072096, 7, 1.6281, 6.9498
256072144, 0, 0.1571, 129.4044
256072144, 1, 0.2319, 87.4792
256072144, 2, 0.3447, 64.6198
256072144, 3, 0.5037, 35.7920
256072144, 4, 0.7064, 21.7184
256072144, 5, 0.9626, 13.9567
256072144, 6, 1.2749, 9.2143
256072144, 7, 1.6281, 6.7575
256072256, 0, 0.1571, 134.5477
256072256, 1, 0.2319, 89.2203
256072256, 2, 0.3447, 64.8709
256072256, 3, 0.5037, 35.6781
256072256, 4, 0.7064, 21.5036
256072256, 5, 0.9626, 13.7478
256072256, 6, 1.2749, 9.0331
256072256, 7, 1.6281, 6.5894
256128032, 0, 0.1571, 129.0367
256128032, 1, 0.2319, 90.2241
256128032, 2, 0.3447, 69.3638
256128032, 3, 0.5037, 39.5470
256128032, 4, 0.7064, 24.3889
256128032, 5, 0.9626, 16.1507
256128032, 6, 1.2749, 10.9123
256128032, 7, 1.6281, 8.2246
256128064, 0, 0.1571, 114.7308
256128064, 1, 0.2319, 79.6252
256128064, 2, 0.3447, 62.5995
256128064, 3, 0.5037, 34.9319
256128064, 4, 0.7064, 21.7311
256128064, 5, 0.9626, 14.0872
256128064, 6, 1.2749, 9.4743
256128064, 7, 1.6281, 6.9795
256128096, 0, 0.1571, 118.3729
256128096, 1, 0.2319, 81.3091
256128096, 2, 0.3447, 62.3368
256128096, 3, 0.5037, 34.9014
256128096, 4, 0.7064, 21.4638
256128096, 5, 0.9626, 13.8550
256128096, 6, 1.2749, 9.2087
256128096, 7, 1.6281, 6.7461
256128144, 0, 0.1571, 129.4716
256128144, 1, 0.2319, 86.7255
256128144, 2, 0.3447, 63.9644
256128144, 3, 0.5037, 35.2968
256128144, 4, 0.7064, 21.3423
256128144, 5, 0.9626, 13.6935
256128144, 6, 1.2749, 9.0374
256128144, 7, 1.6281, 6.6038
256128256, 0, 0.1571, 134.6177
256128256, 1, 0.2319, 88.4226
256128256, 2, 0.3447, 64.1974
256128256, 3, 0.5037, 35.1789
256128256, 4, 0.7064, 21.1392
256128256, 5, 0.9626, 13.5010
256128256, 6, 1.2749, 8.8731
256128256, 7, 1.6281, 6.4571
256168032, 0, 0.1571, 129.4440
256168032, 1, 0.2319, 90.9240
256168032, 2, 0.3447, 69.5426
256168032, 3, 0.5037, 39.6758
256168032, 4, 0.7064, 24.3520
256168032, 5, 0.9626, 16.0868
256168032, 6, 1.2749, 10.7260
256168032, 7, 1.6281, 8.0359
256168064, 0, 0.1571, 114.6500
256168064, 1, 0.2319, 79.4837
256168064, 2, 0.3447, 62.1300
256168064, 3, 0.5037, 34.6732
256168064, 4, 0.7064, 21.5737
256168064, 5, 0.9626, 13.9844
256168064, 6, 1.2749, 9.3638
256168064, 7, 1.6281, 6.8864
256168096, 0, 0.1571, 119.6275
256168096, 1, 0.2319, 81.7404
256168096, 2, 0.3447, 61.9463
256168096, 3, 0.5037, 34.6427
256168096, 4, 0.7064, 21.2846
256168096, 5, 0.9626, 13.7229
256168096, 6, 1.2749, 9.0928
256168096, 7, 1.6281, 6.6536
256168144, 0, 0.1571, 131.7298
256168144, 1, 0.2319, 87.7398
256168144, 2, 0.3447, 63.8240
256168144, 3, 0.5037, 35.1433
256168144, 4, 0.7064, 21.1925
256168144, 5, 0.9626, 13.5663
256168144, 6, 1.2749, 8.9286
256168144, 7, 1.6281, 6.5207
256168256, 0, 0.1571, 138.1757
256168256, 1, 0.2319, 90.1055
256168256, 2, 0.3447, 64.3893
256168256, 3, 0.5037, 35.1661
256168256, 4, 0.7064, 21.0411
256168256, 5, 0.9626, 13.3950
256168256, 6, 1.2749, 8.7779
256168256, 7, 1.6281, 6.3860
256256032, 0, 0.1571, 127.7343
256256032, 1, 0.2319, 89.6530
256256032, 2, 0.3447, 68.5552
256256032, 3, 0.5037, 38.9378
256256032, 4, 0.7064, 23.8576
256256032, 5, 0.9626, 15.6612
256256032, 6, 1.2749, 10.4160
256256032, 7, 1.6281, 7.7672
256256064, 0, 0.1571, 113.6921
256256064, 1, 0.2319, 78.7951
256256064, 2, 0.3447, 61.6605
256256064, 3, 0.5037, 34.3734
256256064, 4, 0.7064, 21.3842
256256064, 5, 0.9626, 13.8431
256256064, 6, 1.2749, 9.2587
256256064, 7, 1.6281, 6.7969
256256096, 0, 0.1571, 118.4305
256256096, 1, 0.2319, 81.0012
256256096, 2, 0.3447, 61.4656
256256096, 3, 0.5037, 34.3432
256256096, 4, 0.7064, 21.1115
256256096, 5, 0.9626, 13.5978
256256096, 6, 1.2749, 9.0064
256256096, 7, 1.6281, 6.5822
256256144, 0, 0.1571, 130.6114
256256144, 1, 0.2319, 87.1615
256256144, 2, 0.3447, 63.4311
256256144, 3, 0.5037, 34.8674
256256144, 4, 0.7064, 21.0302
256256144, 5, 0.9626, 13.4466
256256144, 6, 1.2749, 8.8456
256256144, 7, 1.6281, 6.4508
256256256, 0, 0.1571, 136.7124
256256256, 1, 0.2319, 89.4318
256256256, 2, 0.3447, 63.9913
256256256, 3, 0.5037, 34.8953
256256256, 4, 0.7064, 20.8944
256256256, 5, 0.9626, 13.2923
256256256, 6, 1.2749, 8.7103
256256256, 7, 1.6281, 6.3294
