active, fn, bpp, mse, np
256.00, kodak/kodim03.png, 0.5323, 20.5521, 393216
256.00, kodak/kodim08.png, 1.3443, 82.5708, 393216
256.00, kodak/kodim21.png, 0.8104, 46.7653, 393216
256.00, kodak/kodim18.png, 1.0465, 65.7314, 393216
256.00, kodak/kodim15.png, 0.6667, 31.4427, 393216
256.00, kodak/kodim09.png, 0.5663, 22.9137, 393216
256.00, kodak/kodim17.png, 0.6785, 29.3606, 393216
256.00, kodak/kodim20.png, 0.6128, 27.3394, 393216
256.00, kodak/kodim12.png, 0.6058, 24.0858, 393216
256.00, kodak/kodim22.png, 0.8431, 44.8597, 393216
256.00, kodak/kodim19.png, 0.7709, 36.5849, 393216
256.00, kodak/kodim02.png, 0.6692, 30.4142, 393216
256.00, kodak/kodim10.png, 0.6222, 25.7441, 393216
256.00, kodak/kodim05.png, 1.3210, 64.4550, 393216
256.00, kodak/kodim23.png, 0.5015, 21.5877, 393216
256.00, kodak/kodim11.png, 0.8898, 43.3118, 393216
256.00, kodak/kodim24.png, 1.0334, 68.2505, 393216
256.00, kodak/kodim01.png, 1.2052, 63.1114, 393216
256.00, kodak/kodim04.png, 0.6916, 30.1377, 393216
256.00, kodak/kodim14.png, 1.0991, 52.5863, 393216
256.00, kodak/kodim13.png, 1.4165, 125.3616, 393216
256.00, kodak/kodim06.png, 0.9631, 47.2462, 393216
256.00, kodak/kodim16.png, 0.6984, 28.1789, 393216
256.00, kodak/kodim07.png, 0.6775, 24.7632, 393216
240.00, kodak/kodim03.png, 0.5182, 25.0277, 393216
240.00, kodak/kodim08.png, 1.3018, 97.3488, 393216
240.00, kodak/kodim21.png, 0.7912, 54.2670, 393216
240.00, kodak/kodim18.png, 1.0273, 67.9089, 393216
240.00, kodak/kodim15.png, 0.6496, 47.9319, 393216
240.00, kodak/kodim09.png, 0.5518, 33.7708, 393216
240.00, kodak/kodim17.png, 0.6642, 34.0294, 393216
240.00, kodak/kodim20.png, 0.5951, 44.7154, 393216
240.00, kodak/kodim12.png, 0.5923, 47.7370, 393216
240.00, kodak/kodim22.png, 0.8275, 50.5611, 393216
240.00, kodak/kodim19.png, 0.7511, 45.5388, 393216
240.00, kodak/kodim02.png, 0.6548, 32.7942, 393216
240.00, kodak/kodim10.png, 0.6092, 33.0601, 393216
240.00, kodak/kodim05.png, 1.2878, 70.4467, 393216
240.00, kodak/kodim23.png, 0.4827, 30.7476, 393216
240.00, kodak/kodim11.png, 0.8710, 46.6066, 393216
240.00, kodak/kodim24.png, 1.0121, 72.0709, 393216
240.00, kodak/kodim01.png, 1.1770, 69.6994, 393216
240.00, kodak/kodim04.png, 0.6758, 34.5914, 393216
240.00, kodak/kodim14.png, 1.0721, 58.2941, 393216
240.00, kodak/kodim13.png, 1.3849, 134.1989, 393216
240.00, kodak/kodim06.png, 0.9435, 60.7624, 393216
240.00, kodak/kodim16.png, 0.6864, 33.5179, 393216
240.00, kodak/kodim07.png, 0.6603, 29.6310, 393216
224.00, kodak/kodim03.png, 0.4854, 44.7933, 393216
224.00, kodak/kodim08.png, 1.2070, 146.4564, 393216
224.00, kodak/kodim21.png, 0.7403, 83.3851, 393216
224.00, kodak/kodim18.png, 0.9522, 89.3033, 393216
224.00, kodak/kodim15.png, 0.6025, 108.6954, 393216
224.00, kodak/kodim09.png, 0.5181, 69.7942, 393216
224.00, kodak/kodim17.png, 0.6235, 58.7543, 393216
224.00, kodak/kodim20.png, 0.5548, 94.2424, 393216
224.00, kodak/kodim12.png, 0.5517, 120.5793, 393216
224.00, kodak/kodim22.png, 0.7639, 76.0910, 393216
224.00, kodak/kodim19.png, 0.7012, 76.2523, 393216
224.00, kodak/kodim02.png, 0.6065, 46.8909, 393216
224.00, kodak/kodim10.png, 0.5704, 58.7567, 393216
224.00, kodak/kodim05.png, 1.1963, 99.0309, 393216
224.00, kodak/kodim23.png, 0.4503, 62.5273, 393216
224.00, kodak/kodim11.png, 0.8082, 64.4112, 393216
224.00, kodak/kodim24.png, 0.9406, 94.1252, 393216
224.00, kodak/kodim01.png, 1.0893, 93.7636, 393216
224.00, kodak/kodim04.png, 0.6279, 54.3152, 393216
224.00, kodak/kodim14.png, 0.9948, 85.0049, 393216
224.00, kodak/kodim13.png, 1.2823, 172.2635, 393216
224.00, kodak/kodim06.png, 0.8758, 106.1241, 393216
224.00, kodak/kodim16.png, 0.6387, 55.3064, 393216
224.00, kodak/kodim07.png, 0.6173, 49.7396, 393216
208.00, kodak/kodim03.png, 0.4223, 82.8508, 393216
208.00, kodak/kodim08.png, 1.0587, 236.7443, 393216
208.00, kodak/kodim21.png, 0.6474, 143.3216, 393216
208.00, kodak/kodim18.png, 0.8299, 136.2989, 393216
208.00, kodak/kodim15.png, 0.5289, 210.6541, 393216
208.00, kodak/kodim09.png, 0.4536, 140.2023, 393216
208.00, kodak/kodim17.png, 0.5401, 109.5345, 393216
208.00, kodak/kodim20.png, 0.4874, 168.0448, 393216
208.00, kodak/kodim12.png, 0.4738, 262.3441, 393216
208.00, kodak/kodim22.png, 0.6628, 127.7869, 393216
208.00, kodak/kodim19.png, 0.6083, 134.7758, 393216
208.00, kodak/kodim02.png, 0.5166, 77.4521, 393216
