level,fn,dbpp,bpp,mse,np
3.00, kodak/kodim22.png, 0.3022, 0.4522, 42.3007, 393216
4.00, kodak/kodim22.png, 0.4616, 0.6767, 26.0033, 393216
5.00, kodak/kodim22.png, 0.6818, 0.9647, 15.7455, 393216
6.00, kodak/kodim22.png, 0.9632, 1.3070, 10.2218, 393216
7.00, kodak/kodim22.png, 1.2910, 1.6982, 7.4165, 393216
0.00, kodak/kodim19.png, 0.1141, 0.1121, 237.7754, 393216
1.00, kodak/kodim19.png, 0.1179, 0.1641, 118.3627, 393216
2.00, kodak/kodim19.png, 0.1755, 0.2554, 62.9711, 393216
3.00, kodak/kodim19.png, 0.2689, 0.3953, 36.0105, 393216
4.00, kodak/kodim19.png, 0.4095, 0.5935, 22.0166, 393216
5.00, kodak/kodim19.png, 0.6026, 0.8506, 13.1489, 393216
6.00, kodak/kodim19.png, 0.8479, 1.1570, 8.4803, 393216
7.00, kodak/kodim19.png, 1.1377, 1.5049, 5.9197, 393216
0.00, kodak/kodim02.png, 0.0877, 0.0865, 234.4047, 393216
1.00, kodak/kodim02.png, 0.0877, 0.1213, 109.6716, 393216
2.00, kodak/kodim02.png, 0.1244, 0.1836, 59.1580, 393216
3.00, kodak/kodim02.png, 0.1881, 0.2879, 35.9410, 393216
4.00, kodak/kodim02.png, 0.2900, 0.4477, 23.0605, 393216
5.00, kodak/kodim02.png, 0.4491, 0.6776, 14.0917, 393216
6.00, kodak/kodim02.png, 0.6837, 0.9953, 8.7823, 393216
7.00, kodak/kodim02.png, 0.9976, 1.3954, 6.0842, 393216
0.00, kodak/kodim10.png, 0.0995, 0.0977, 214.8853, 393216
1.00, kodak/kodim10.png, 0.1008, 0.1388, 91.3761, 393216
2.00, kodak/kodim10.png, 0.1398, 0.1959, 44.8767, 393216
3.00, kodak/kodim10.png, 0.1954, 0.2766, 25.8013, 393216
4.00, kodak/kodim10.png, 0.2753, 0.3860, 15.9522, 393216
5.00, kodak/kodim10.png, 0.3846, 0.5332, 10.2172, 393216
6.00, kodak/kodim10.png, 0.5330, 0.7315, 7.1890, 393216
7.00, kodak/kodim10.png, 0.7506, 1.0218, 5.1811, 393216
0.00, kodak/kodim05.png, 0.2554, 0.2534, 252.4200, 393216
1.00, kodak/kodim05.png, 0.2472, 0.3741, 136.4847, 393216
2.00, kodak/kodim05.png, 0.3623, 0.5396, 76.8449, 393216
3.00, kodak/kodim05.png, 0.5251, 0.7561, 45.6418, 393216
4.00, kodak/kodim05.png, 0.7374, 1.0279, 27.5911, 393216
5.00, kodak/kodim05.png, 1.0012, 1.3611, 16.5001, 393216
6.00, kodak/kodim05.png, 1.3272, 1.7543, 10.5164, 393216
7.00, kodak/kodim05.png, 1.7049, 2.1880, 7.2554, 393216
0.00, kodak/kodim23.png, 0.0882, 0.0864, 206.0884, 393216
1.00, kodak/kodim23.png, 0.0918, 0.1142, 83.3075, 393216
2.00, kodak/kodim23.png, 0.1180, 0.1542, 36.0907, 393216
3.00, kodak/kodim23.png, 0.1562, 0.2095, 20.1910, 393216
4.00, kodak/kodim23.png, 0.2102, 0.2830, 12.6774, 393216
5.00, kodak/kodim23.png, 0.2831, 0.3848, 8.3900, 393216
6.00, kodak/kodim23.png, 0.3875, 0.5234, 6.1206, 393216
7.00, kodak/kodim23.png, 0.5323, 0.7183, 4.7992, 393216
0.00, kodak/kodim11.png, 0.1344, 0.1326, 250.8493, 393216
1.00, kodak/kodim11.png, 0.1352, 0.2000, 132.1540, 393216
2.00, kodak/kodim11.png, 0.2040, 0.3065, 69.3959, 393216
3.00, kodak/kodim11.png, 0.3070, 0.4590, 39.3268, 393216
4.00, kodak/kodim11.png, 0.4624, 0.6751, 23.4841, 393216
5.00, kodak/kodim11.png, 0.6771, 0.9574, 13.8444, 393216
6.00, kodak/kodim11.png, 0.9509, 1.3039, 8.4404, 393216
7.00, kodak/kodim11.png, 1.2884, 1.7013, 5.5156, 393216
0.00, kodak/kodim24.png, 0.1901, 0.1880, 280.7556, 393216
1.00, kodak/kodim24.png, 0.1893, 0.2870, 144.6831, 393216
2.00, kodak/kodim24.png, 0.2865, 0.4336, 78.3522, 393216
3.00, kodak/kodim24.png, 0.4264, 0.6300, 44.8180, 393216
4.00, kodak/kodim24.png, 0.6090, 0.8727, 26.9985, 393216
5.00, kodak/kodim24.png, 0.8499, 1.1748, 16.1078, 393216
6.00, kodak/kodim24.png, 1.1411, 1.5233, 10.4555, 393216
7.00, kodak/kodim24.png, 1.4848, 1.9152, 7.4635, 393216
0.00, kodak/kodim01.png, 0.1921, 0.1899, 268.0448, 393216
1.00, kodak/kodim01.png, 0.1989, 0.3120, 149.5579, 393216
2.00, kodak/kodim01.png, 0.3241, 0.5067, 87.2374, 393216
3.00, kodak/kodim01.png, 0.5123, 0.7743, 50.7249, 393216
4.00, kodak/kodim01.png, 0.7688, 1.1070, 29.8414, 393216
5.00, kodak/kodim01.png, 1.0921, 1.5081, 16.6460, 393216
6.00, kodak/kodim01.png, 1.4684, 1.9505, 9.7033, 393216
7.00, kodak/kodim01.png, 1.8908, 2.4095, 6.2320, 393216
0.00, kodak/kodim04.png, 0.0982, 0.0964, 219.1150, 393216
1.00, kodak/kodim04.png, 0.1019, 0.1405, 103.8982, 393216
